Index,is_canceled
30946,0
40207,1
103708,0
85144,0
109991,0
110622,0
47790,1
44992,0
30528,0
16886,0
31493,0
63673,1
3580,0
95343,0
76885,1
30953,0
50740,1
116611,0
29662,0
22685,0
44444,1
117129,0
55325,1
68884,1
74595,1
9187,1
83266,0
3695,0
41857,0
53855,1
99138,0
47380,0
77325,0
98288,0
92316,0
103254,0
100195,0
27953,0
48319,0
110214,0
7730,1
91973,0
90062,0
103311,0
46354,1
24605,0
75891,1
71985,1
8473,1
20066,0
25857,0
82333,1
76099,1
103101,0
62123,1
63657,1
108136,0
13684,1
80476,1
2989,0
89071,0
24462,0
4510,1
67322,1
89724,0
111360,0
23443,0
24925,0
15182,1
59918,1
116968,0
56476,1
116121,0
60113,1
45755,1
75196,1
102758,0
87763,0
593,1
76468,1
12966,1
31026,0
23020,0
13370,1
41062,0
66588,1
105808,0
17562,0
44675,0
3509,1
27481,0
116460,0
40918,0
109729,0
86004,0
31306,0
119371,0
44455,1
201,0
15654,1
25014,0
77041,1
48173,1
87165,0
77351,1
88160,0
116800,0
113667,0
52258,1
51336,1
91957,0
19624,0
67197,1
5173,1
61504,1
64984,1
55642,1
95814,0
44231,0
54819,1
102384,0
56181,0
55862,1
33201,0
44430,1
65720,1
6767,1
100800,0
46742,1
39700,0
114300,0
92928,0
42308,0
66518,1
98503,0
83462,0
24197,0
105370,0
67964,1
44272,0
36287,0
83745,0
52567,1
57510,1
68977,1
70117,1
38849,0
28446,0
66182,1
64672,1
109503,0
2888,0
43428,1
34071,0
46120,0
53145,1
61026,1
117690,0
40063,1
66140,1
5181,1
108544,0
2320,1
15780,0
115703,0
62730,1
5533,1
7119,1
86243,0
101391,0
74870,1
47125,0
33047,0
7336,1
55141,0
100759,0
68093,1
59578,1
51682,1
77888,0
38800,0
2619,0
26822,0
22819,0
109050,0
87289,0
60605,1
16018,0
81765,1
76783,1
55053,1
115736,0
76214,1
70012,1
51773,0
9138,1
116979,0
88011,0
36013,0
51355,1
108511,0
9937,1
76059,1
4306,1
50688,1
94639,0
12786,1
103734,0
106025,0
50731,0
113162,0
12551,1
51452,1
8810,1
92065,0
69321,1
63842,1
40419,1
69591,1
14785,1
92855,0
37450,0
90832,0
47575,1
49471,1
118999,0
70438,1
111903,0
43449,0
12800,1
19114,0
64349,1
29413,0
73968,1
80007,1
16314,0
105619,0
100876,0
63834,1
47209,1
1387,0
109693,0
68067,1
97426,0
60458,1
109812,0
92818,0
69281,1
40393,1
20133,0
94038,0
79917,0
107768,0
8525,1
71242,1
96654,0
104225,0
109395,0
19212,1
45568,1
55832,1
96973,0
75534,1
108235,0
104405,0
66850,1
91298,0
99419,0
46399,0
41301,0
112011,0
73990,1
58551,1
45088,0
57120,1
106621,0
62817,1
33676,0
53851,1
74296,1
118246,0
92351,0
18843,1
71608,1
56883,1
89337,0
108331,0
44063,0
109245,0
